record_id,instrument_id,id_type,exchange_code,price,volume,timestamp
REC001,AAPL US,TICKER,US,189.4200,15000,2026-08-28 09:30:01
REC002,MSFT US,TICKER,US,415.7800,8200,2026-08-28 09:30:05
REC003,BARC LN,TICKER,GB,215.6000,42000,2026-08-28 09:30:08
REC004,VOD LN,TICKER,GB,74.8200,91000,2026-08-28 09:30:11
REC005,SAP GY,TICKER,DE,178.9400,3100,2026-08-28 09:30:14
REC006,SIE GY,TICKER,DE,183.2200,4800,2026-08-28 09:30:17
REC007,CS FP,TICKER,FR,28.4400,22000,2026-08-28 09:30:20
REC008,BNP FP,TICKER,FR,58.9600,11500,2026-08-28 09:30:23
REC009,SONY JP,TICKER,JP,2441.0000,9800,2026-08-28 09:30:26
REC010,TM JP,TICKER,JP,2893.5000,6200,2026-08-28 09:30:29
REC011,NVDA US,TICKER,US,875.3200,5400,2026-08-28 09:30:32
REC012,HSBA LN,TICKER,GB,646.1000,33000,2026-08-28 09:30:35
REC013,ADS GY,TICKER,DE,236.8800,2700,2026-08-28 09:30:38
REC014,LVMH FP,TICKER,FR,722.4000,1900,2026-08-28 09:30:41
REC015,6758 JP,TICKER,JP,2156.0000,14200,2026-08-28 09:30:44
REC016,GOOGL US,TICKER,US,178.9200,7600,2026-08-28 09:30:47
REC017,ULVR LN,TICKER,GB,4218.0000,8800,2026-08-28 09:30:50
REC018,BMW GY,TICKER,DE,91.6600,5500,2026-08-28 09:30:53
REC019,AI FP,TICKER,FR,27.1800,18400,2026-08-28 09:30:56
REC020,6861 JP,TICKER,JP,4932.0000,3300,2026-08-28 09:31:00
